clip,07-24_20-46-14,07-24_20-49-03,07-24_20-51-22,07-24_20-52-30,07-24_20-59-21,07-24_20-59-49,07-24_21-00-39,07-24_21-02-42,07-24_21-03-01,07-24_21-03-34,07-24_21-03-49,07-24_21-15-39,07-24_21-22-31,07-24_21-23-28,07-24_21-24-11,07-24_21-24-48,07-24_23-08-01,07-24_23-08-42,07-24_23-09-25,07-24_23-12-04,07-24_23-13-31,07-24_23-14-31,07-24_23-14-52
07-24_20-46-14,1.0000,0.5505,0.6774,0.5684,0.6172,0.5667,0.6184,0.6009,0.6093,0.5991,0.6489,0.6405,0.6055,0.5877,0.6206,0.5957,0.6367,0.6386,0.6522,0.6063,0.6600,0.6722,0.6556
07-24_20-49-03,0.5505,1.0000,0.5467,0.5891,0.8059,0.7689,0.7629,0.6417,0.7111,0.7010,0.7109,0.6346,0.6339,0.6550,0.7046,0.7109,0.6503,0.6964,0.6881,0.7072,0.7245,0.7136,0.6798
07-24_20-51-22,0.6774,0.5467,1.0000,0.7456,0.5384,0.5415,0.5898,0.5511,0.5496,0.5535,0.6338,0.5637,0.5262,0.5453,0.5556,0.5418,0.6084,0.5706,0.5924,0.5938,0.6204,0.5978,0.6244
07-24_20-52-30,0.5684,0.5891,0.7456,1.0000,0.5822,0.5789,0.6195,0.5846,0.5816,0.5991,0.6464,0.5519,0.5625,0.5963,0.5932,0.5673,0.6372,0.6032,0.6138,0.6278,0.6408,0.6136,0.6021
07-24_20-59-21,0.6172,0.8059,0.5384,0.5822,1.0000,0.9562,0.9332,0.8382,0.8430,0.8801,0.8614,0.6892,0.8389,0.8398,0.8768,0.8807,0.7982,0.8610,0.8277,0.8391,0.8936,0.8815,0.8085
07-24_20-59-49,0.5667,0.7689,0.5415,0.5789,0.9562,1.0000,0.9309,0.8731,0.8549,0.8946,0.8694,0.6688,0.8745,0.8680,0.9092,0.8867,0.7908,0.8892,0.8280,0.8526,0.9060,0.8724,0.7851
07-24_21-00-39,0.6184,0.7629,0.5898,0.6195,0.9332,0.9309,1.0000,0.8852,0.8974,0.8742,0.8999,0.6964,0.8797,0.9081,0.8954,0.8717,0.8375,0.8786,0.8582,0.8950,0.8987,0.9146,0.8021
07-24_21-02-42,0.6009,0.6417,0.5511,0.5846,0.8382,0.8731,0.8852,1.0000,0.9080,0.8632,0.8600,0.7169,0.9584,0.9375,0.9538,0.8540,0.8697,0.9401,0.8557,0.8583,0.9047,0.9086,0.7261
07-24_21-03-01,0.6093,0.7111,0.5496,0.5816,0.8430,0.8549,0.8974,0.9080,1.0000,0.8387,0.8934,0.7129,0.8936,0.9413,0.9139,0.8553,0.8884,0.8876,0.8723,0.9011,0.8612,0.9139,0.7817
07-24_21-03-34,0.5991,0.7010,0.5535,0.5991,0.8801,0.8946,0.8742,0.8632,0.8387,1.0000,0.9226,0.6756,0.8656,0.8567,0.8712,0.9663,0.8172,0.8916,0.8469,0.9113,0.9174,0.8663,0.7776
07-24_21-03-49,0.6489,0.7109,0.6338,0.6464,0.8614,0.8694,0.8999,0.8600,0.8934,0.9226,1.0000,0.7361,0.8637,0.8832,0.8812,0.9248,0.8683,0.8710,0.8900,0.9551,0.9034,0.9107,0.8358
07-24_21-15-39,0.6405,0.6346,0.5637,0.5519,0.6892,0.6688,0.6964,0.7169,0.7129,0.6756,0.7361,1.0000,0.7355,0.6902,0.7525,0.6541,0.7396,0.7181,0.7748,0.6992,0.7057,0.7558,0.7437
07-24_21-22-31,0.6055,0.6339,0.5262,0.5625,0.8389,0.8745,0.8797,0.9584,0.8936,0.8656,0.8637,0.7355,1.0000,0.9313,0.9585,0.8563,0.8538,0.9356,0.8535,0.8443,0.9015,0.9076,0.7452
07-24_21-23-28,0.5877,0.6550,0.5453,0.5963,0.8398,0.8680,0.9081,0.9375,0.9413,0.8567,0.8832,0.6902,0.9313,1.0000,0.9319,0.8603,0.8789,0.9086,0.8574,0.8791,0.8863,0.9025,0.7499
07-24_21-24-11,0.6206,0.7046,0.5556,0.5932,0.8768,0.9092,0.8954,0.9538,0.9139,0.8712,0.8812,0.7525,0.9585,0.9319,1.0000,0.8721,0.8706,0.9400,0.8737,0.8640,0.9211,0.9242,0.7874
07-24_21-24-48,0.5957,0.7109,0.5418,0.5673,0.8807,0.8867,0.8717,0.8540,0.8553,0.9663,0.9248,0.6541,0.8563,0.8603,0.8721,1.0000,0.8265,0.8812,0.8457,0.9241,0.9111,0.8684,0.7891
07-24_23-08-01,0.6367,0.6503,0.6084,0.6372,0.7982,0.7908,0.8375,0.8697,0.8884,0.8172,0.8683,0.7396,0.8538,0.8789,0.8706,0.8265,1.0000,0.8832,0.8988,0.8648,0.8678,0.9148,0.7929
07-24_23-08-42,0.6386,0.6964,0.5706,0.6032,0.8610,0.8892,0.8786,0.9401,0.8876,0.8916,0.8710,0.7181,0.9356,0.9086,0.9400,0.8812,0.8832,1.0000,0.8756,0.8705,0.9389,0.9252,0.7785
07-24_23-09-25,0.6522,0.6881,0.5924,0.6138,0.8277,0.8280,0.8582,0.8557,0.8723,0.8469,0.8900,0.7748,0.8535,0.8574,0.8737,0.8457,0.8988,0.8756,1.0000,0.8669,0.8797,0.9163,0.7800
07-24_23-12-04,0.6063,0.7072,0.5938,0.6278,0.8391,0.8526,0.8950,0.8583,0.9011,0.9113,0.9551,0.6992,0.8443,0.8791,0.8640,0.9241,0.8648,0.8705,0.8669,1.0000,0.8802,0.8936,0.8082
07-24_23-13-31,0.6600,0.7245,0.6204,0.6408,0.8936,0.9060,0.8987,0.9047,0.8612,0.9174,0.9034,0.7057,0.9015,0.8863,0.9211,0.9111,0.8678,0.9389,0.8797,0.8802,1.0000,0.9257,0.8246
07-24_23-14-31,0.6722,0.7136,0.5978,0.6136,0.8815,0.8724,0.9146,0.9086,0.9139,0.8663,0.9107,0.7558,0.9076,0.9025,0.9242,0.8684,0.9148,0.9252,0.9163,0.8936,0.9257,1.0000,0.8389
07-24_23-14-52,0.6556,0.6798,0.6244,0.6021,0.8085,0.7851,0.8021,0.7261,0.7817,0.7776,0.8358,0.7437,0.7452,0.7499,0.7874,0.7891,0.7929,0.7785,0.7800,0.8082,0.8246,0.8389,1.0000
